cell_type,gene_id,gene_name,gene_biotype,FC,FDR
Neu-NRGN-II,ENSG00000260032,LINC00657,lincRNA,2.03165839200066,6.29838439570133E-217
Neu-NRGN-II,ENSG00000162706,CADM3,protein_coding,1.82658495306113,2.14155677805651E-215
Neu-NRGN-II,ENSG00000104888,SLC17A7,protein_coding,2.27243387962604,1.30892352302723E-214
Neu-NRGN-II,ENSG00000166913,YWHAB,protein_coding,1.88115837734203,1.03790601432861E-213
Neu-NRGN-II,ENSG00000166257,SCN3B,protein_coding,1.99336442718436,3.93222268146342E-213
Neu-NRGN-II,ENSG00000174938,SEZ6L2,protein_coding,1.89014348335251,4.12002587318341E-212
Neu-NRGN-II,ENSG00000092964,DPYSL2,protein_coding,1.61434903894758,4.12192822054029E-210
Neu-NRGN-II,ENSG00000143013,LMO4,protein_coding,2.01525981898241,6.54110117224213E-209
Neu-NRGN-II,ENSG00000182220,ATP6AP2,protein_coding,1.84767109946088,4.6599839161945E-208
Neu-NRGN-II,ENSG00000157087,ATP2B2,protein_coding,2.02383321298125,2.57989420635257E-207
Neu-NRGN-II,ENSG00000103034,NDRG4,protein_coding,2.01502382800632,9.91036579151987E-205
Neu-NRGN-II,ENSG00000166165,CKB,protein_coding,1.93323354710098,1.74748602929207E-202
Neu-NRGN-II,ENSG00000132872,SYT4,protein_coding,1.69449596152416,5.09881901030204E-200
Neu-NRGN-II,ENSG00000166501,PRKCB,protein_coding,1.97803714656776,4.04992052293358E-198
Neu-NRGN-II,ENSG00000171314,PGAM1,protein_coding,1.73773879011804,8.20259995302854E-198
Neu-NRGN-II,ENSG00000159164,SV2A,protein_coding,1.76121591840464,6.56123067219218E-197
Neu-NRGN-II,ENSG00000112186,CAP2,protein_coding,1.83382823738278,1.40718588458785E-196
Neu-NRGN-II,ENSG00000117152,RGS4,protein_coding,1.85117334054046,9.43685902279259E-196
Neu-NRGN-II,ENSG00000125814,NAPB,protein_coding,1.7141954590243,2.48926264196989E-195
Neu-NRGN-II,ENSG00000089220,PEBP1,protein_coding,1.73994407544453,1.19412266252672E-194
Neu-NRGN-II,ENSG00000145335,SNCA,protein_coding,1.92462872679931,2.11182604346718E-193
Neu-NRGN-II,ENSG00000114573,ATP6V1A,protein_coding,1.42443939355866,1.28715173468299E-192
Neu-NRGN-II,ENSG00000172757,CFL1,protein_coding,1.69273963338362,1.23314005433803E-191
Neu-NRGN-II,ENSG00000133134,BEX2,protein_coding,1.77673530609027,3.50554566725059E-191
Neu-NRGN-II,ENSG00000196262,PPIA,protein_coding,1.65174223927696,4.56753820531337E-191
Neu-NRGN-II,ENSG00000109180,OCIAD1,protein_coding,1.53794378273714,4.21065002771607E-190
Neu-NRGN-II,ENSG00000172020,GAP43,protein_coding,1.80106902095958,2.34128704085275E-188
Neu-NRGN-II,ENSG00000100321,SYNGR1,protein_coding,1.43649399202182,6.3986030549033E-188
Neu-NRGN-II,ENSG00000111669,TPI1,protein_coding,1.63618243850068,1.66146065699071E-187
Neu-NRGN-II,ENSG00000073969,NSF,protein_coding,1.7350628846355,1.24153708668702E-186
Neu-NRGN-II,ENSG00000188191,PRKAR1B,protein_coding,1.61866128135992,3.83270391498933E-186
Neu-NRGN-II,ENSG00000164924,YWHAZ,protein_coding,1.7075326757064,9.02024496457392E-186
Neu-NRGN-II,ENSG00000221890,NPTXR,protein_coding,1.91225520365363,1.11856753189769E-185
Neu-NRGN-II,ENSG00000147416,ATP6V1B2,protein_coding,1.6621818806924,1.3989501886254E-185
Neu-NRGN-II,ENSG00000173660,UQCRH,protein_coding,1.59175498540644,3.86367366058609E-185
Neu-NRGN-II,ENSG00000084234,APLP2,protein_coding,1.58746072671078,9.50338256714865E-185
Neu-NRGN-II,ENSG00000014641,MDH1,protein_coding,1.54061088507292,2.35863712427911E-184
Neu-NRGN-II,ENSG00000154917,RAB6B,protein_coding,1.54664129153237,9.45203166902011E-184
Neu-NRGN-II,ENSG00000132824,SERINC3,protein_coding,1.58565087278631,2.30765102299223E-183
Neu-NRGN-II,ENSG00000126214,KLC1,protein_coding,1.62793584006394,3.31614637329564E-183
Neu-NRGN-II,ENSG00000092096,SLC22A17,protein_coding,1.58977601870295,1.67268931723688E-182
Neu-NRGN-II,ENSG00000139182,CLSTN3,protein_coding,1.42362477281867,1.71634938956154E-182
Neu-NRGN-II,ENSG00000176788,BASP1,protein_coding,1.77670204415503,1.03125996896157E-181
Neu-NRGN-II,ENSG00000136156,ITM2B,protein_coding,1.52871184980097,4.35421582947013E-181
Neu-NRGN-II,ENSG00000136928,GABBR2,protein_coding,1.85178722099634,3.46165007853995E-180
Neu-NRGN-II,ENSG00000129625,REEP5,protein_coding,1.47227926344736,3.6493405430268E-180
Neu-NRGN-II,ENSG00000117410,ATP6V0B,protein_coding,1.68070294822156,7.63495898064543E-180
Neu-NRGN-II,ENSG00000120265,PCMT1,protein_coding,1.47155511727512,5.30975369712478E-178
Neu-NRGN-II,ENSG00000141367,CLTC,protein_coding,1.32510790816287,4.3345078888184E-177
Neu-NRGN-II,ENSG00000022355,GABRA1,protein_coding,1.83342630477584,4.80006280764926E-177
Neu-NRGN-II,ENSG00000087460,GNAS,protein_coding,1.69701885056758,2.73216296069965E-176
Neu-NRGN-II,ENSG00000102409,BEX4,protein_coding,1.4341481529473,8.21671762627958E-176
Neu-NRGN-II,ENSG00000075624,ACTB,protein_coding,1.58457569356185,8.52596358383739E-176
Neu-NRGN-II,ENSG00000130540,SULT4A1,protein_coding,1.58238130451416,9.00242426972234E-176
Neu-NRGN-II,ENSG00000176884,GRIN1,protein_coding,1.91810973143992,1.26249635316109E-175
Neu-NRGN-II,ENSG00000152583,SPARCL1,protein_coding,2.19124548767209,1.98982898355374E-175
Neu-NRGN-II,ENSG00000005486,RHBDD2,protein_coding,1.4126680569565,1.97038811142087E-173
Neu-NRGN-II,ENSG00000167552,TUBA1A,protein_coding,1.64806608524868,2.88812944653828E-173
Neu-NRGN-II,ENSG00000176956,LY6H,protein_coding,1.63531696680048,2.99274530909608E-173
Neu-NRGN-II,ENSG00000130294,KIF1A,protein_coding,1.48329076077396,4.15890080871212E-173
Neu-NRGN-II,ENSG00000196950,SLC39A10,protein_coding,1.68670131361713,1.29366148216577E-172
Neu-NRGN-II,ENSG00000132718,SYT11,protein_coding,1.38091344646033,1.88317683342327E-171
Neu-NRGN-II,ENSG00000058404,CAMK2B,protein_coding,1.74586247203578,6.5790272199234E-171
Neu-NRGN-II,ENSG00000185518,SV2B,protein_coding,1.78964732903841,8.42856023091087E-171
Neu-NRGN-II,ENSG00000144746,ARL6IP5,protein_coding,1.28663107497917,1.30897446790888E-170
Neu-NRGN-II,ENSG00000113387,SUB1,protein_coding,1.30385530390031,1.45522379517055E-170
Neu-NRGN-II,ENSG00000131437,KIF3A,protein_coding,1.34312213167553,3.06289444136619E-170
Neu-NRGN-II,ENSG00000156411,C14orf2,protein_coding,1.46748617567734,1.20880497969213E-169
Neu-NRGN-II,ENSG00000162545,CAMK2N1,protein_coding,1.82557665891026,1.09518482030083E-168
Neu-NRGN-II,ENSG00000197102,DYNC1H1,protein_coding,1.39206175596111,1.09518482030083E-168
Neu-NRGN-II,ENSG00000102804,TSC22D1,protein_coding,1.42127481200857,1.11530082311504E-168
Neu-NRGN-II,ENSG00000105290,APLP1,protein_coding,1.75505288955276,2.01955252594525E-168
Neu-NRGN-II,ENSG00000196230,TUBB,protein_coding,1.41707602471663,3.11501243041257E-168
Neu-NRGN-II,ENSG00000033627,ATP6V0A1,protein_coding,1.25203770398458,3.23969685762784E-168
Neu-NRGN-II,ENSG00000137409,MTCH1,protein_coding,1.4406087822988,8.52404413607478E-168
Neu-NRGN-II,ENSG00000169567,HINT1,protein_coding,1.46841448709435,1.50259868701779E-167
Neu-NRGN-II,ENSG00000198961,PJA2,protein_coding,1.47328762274288,4.75589779379552E-167
Neu-NRGN-II,ENSG00000081189,MEF2C,protein_coding,1.77727071404,4.23919741916694E-166
Neu-NRGN-II,ENSG00000110427,KIAA1549L,protein_coding,1.34533965275088,1.650438777386E-165
Neu-NRGN-II,ENSG00000008056,SYN1,protein_coding,1.38755596612606,3.15644392666352E-165
Neu-NRGN-II,ENSG00000117600,PLPPR4,protein_coding,1.44215655917198,3.75766334520373E-164
Neu-NRGN-II,ENSG00000145864,GABRB2,protein_coding,2.04951715679843,2.17073458694417E-162
Neu-NRGN-II,ENSG00000107758,PPP3CB,protein_coding,1.32912511399685,2.25019589812832E-162
Neu-NRGN-II,ENSG00000166448,TMEM130,protein_coding,1.2859459886358,4.35289757744781E-162
Neu-NRGN-II,ENSG00000110955,ATP5B,protein_coding,1.44445258727963,1.1835252799164E-161
Neu-NRGN-II,ENSG00000164061,BSN,protein_coding,1.2491498770989,3.298750104313E-161
Neu-NRGN-II,ENSG00000008952,SEC62,protein_coding,1.23325569817256,3.75828515055818E-161
Neu-NRGN-II,ENSG00000072832,CRMP1,protein_coding,1.10309306595234,7.98177305661963E-161
Neu-NRGN-II,ENSG00000124140,SLC12A5,protein_coding,1.38634318129826,7.99833738502286E-161
Neu-NRGN-II,ENSG00000055163,CYFIP2,protein_coding,1.13877208210495,1.22462658457791E-160
Neu-NRGN-II,ENSG00000102226,USP11,protein_coding,1.28651583599514,2.87075715196377E-160
Neu-NRGN-II,ENSG00000074317,SNCB,protein_coding,1.57464270374463,5.03319024518876E-160
Neu-NRGN-II,ENSG00000198794,SCAMP5,protein_coding,1.44064461731869,9.48511239564776E-160
Neu-NRGN-II,ENSG00000100604,CHGA,protein_coding,1.2423382352616,6.20462880480415E-159
Neu-NRGN-II,ENSG00000054793,ATP9A,protein_coding,1.21059283266002,1.4054170020262E-158
Neu-NRGN-II,ENSG00000162188,GNG3,protein_coding,1.3791933158239,1.64235722746235E-157
Neu-NRGN-II,ENSG00000113558,SKP1,protein_coding,1.18613550813719,4.0847897166607E-157
Neu-NRGN-II,ENSG00000144834,TAGLN3,protein_coding,1.44833749491817,6.86632941768157E-157
Neu-NRGN-II,ENSG00000197457,STMN3,protein_coding,1.38180781930422,1.64153351112189E-156
Neu-NRGN-II,ENSG00000131143,COX4I1,protein_coding,1.31538164090997,8.12868306328667E-156
Neu-NRGN-II,ENSG00000175602,CCDC85B,protein_coding,1.51005050588457,8.30080228049773E-156
Neu-NRGN-II,ENSG00000118160,SLC8A2,protein_coding,1.10109372063401,3.29457231566144E-155
Neu-NRGN-II,ENSG00000100030,MAPK1,protein_coding,1.36258034611154,5.93003923858444E-155
Neu-NRGN-II,ENSG00000054356,PTPRN,protein_coding,1.46942979797708,1.28060469160452E-154
Neu-NRGN-II,ENSG00000165678,GHITM,protein_coding,1.29165547367738,3.57079786220665E-154
Neu-NRGN-II,ENSG00000112335,SNX3,protein_coding,1.0824937780026,6.21475147468202E-154
Neu-NRGN-II,ENSG00000143774,GUK1,protein_coding,1.2303659390188,1.85460129613844E-153
Neu-NRGN-II,ENSG00000164951,PDP1,protein_coding,1.31048748418099,2.14825412675614E-153
Neu-NRGN-II,ENSG00000069424,KCNAB2,protein_coding,1.03854210758197,5.89418430415788E-153
Neu-NRGN-II,ENSG00000164076,CAMKV,protein_coding,1.09624258001845,7.53349237727794E-153
Neu-NRGN-II,ENSG00000174684,B4GAT1,protein_coding,1.23692946348081,9.46354881012229E-153
Neu-NRGN-II,ENSG00000176749,CDK5R1,protein_coding,1.35225416791001,1.05833625204339E-152
Neu-NRGN-II,ENSG00000089199,CHGB,protein_coding,1.26425615623413,1.33638687110369E-152
Neu-NRGN-II,ENSG00000138071,ACTR2,protein_coding,1.18753113307622,2.27462548666614E-152
Neu-NRGN-II,ENSG00000187109,NAP1L1,protein_coding,1.18234463496787,3.1282672018827E-152
Neu-NRGN-II,ENSG00000171130,ATP6V0E2,protein_coding,1.25029344239441,2.11899617466724E-151
Neu-NRGN-II,ENSG00000109971,HSPA8,protein_coding,1.34580933953707,3.83314573292366E-151
Neu-NRGN-II,ENSG00000168490,PHYHIP,protein_coding,1.54643595282006,4.55643184222591E-151
Neu-NRGN-II,ENSG00000184009,ACTG1,protein_coding,1.38852650084503,5.22922959648082E-151
Neu-NRGN-II,ENSG00000086300,SNX10,protein_coding,1.17597531195788,6.82431381661679E-151
Neu-NRGN-II,ENSG00000174748,RPL15,protein_coding,1.16801030024666,1.0689550888784E-150
Neu-NRGN-II,ENSG00000142168,SOD1,protein_coding,1.27496021757202,1.11977645223708E-150
Neu-NRGN-II,ENSG00000159720,ATP6V0D1,protein_coding,1.15722282768021,3.66895158794624E-150
Neu-NRGN-II,ENSG00000071553,ATP6AP1,protein_coding,1.22439221825074,4.44438875031485E-150
Neu-NRGN-II,ENSG00000167996,FTH1,protein_coding,1.64797400404653,1.18373059977351E-149
Neu-NRGN-II,ENSG00000109472,CPE,protein_coding,1.65834477643933,1.84376377646818E-149
Neu-NRGN-II,ENSG00000165023,DIRAS2,protein_coding,1.42225678725418,2.49986981787799E-149
Neu-NRGN-II,ENSG00000189241,TSPYL1,protein_coding,1.44976610306586,4.85582734841223E-149
Neu-NRGN-II,ENSG00000142875,PRKACB,protein_coding,1.35693860089355,7.01641023449559E-149
Neu-NRGN-II,ENSG00000197106,SLC6A17,protein_coding,1.06430445319999,1.26531357693452E-148
Neu-NRGN-II,ENSG00000106537,TSPAN13,protein_coding,1.04998060855239,1.48470627821019E-148
Neu-NRGN-II,ENSG00000138757,G3BP2,protein_coding,1.12977883143213,1.85429699808066E-148
Neu-NRGN-II,ENSG00000075945,KIFAP3,protein_coding,1.12805161902084,6.55658600358844E-148
Neu-NRGN-II,ENSG00000185787,MORF4L1,protein_coding,1.25582117369574,9.43274402753804E-148
Neu-NRGN-II,ENSG00000113327,GABRG2,protein_coding,1.26929522102828,3.54970364404167E-147
Neu-NRGN-II,ENSG00000111716,LDHB,protein_coding,1.15356233197204,5.27574583416707E-147
Neu-NRGN-II,ENSG00000084731,KIF3C,protein_coding,1.03021400992399,1.34162461564976E-146
Neu-NRGN-II,ENSG00000260230,FRRS1L,protein_coding,1.14284287840218,3.45763385543955E-146
Neu-NRGN-II,ENSG00000127184,COX7C,protein_coding,1.2674186419877,5.86552667321008E-146
Neu-NRGN-II,ENSG00000170500,LONRF2,protein_coding,1.18655391365285,3.58973083926128E-145
Neu-NRGN-II,ENSG00000036530,CYP46A1,protein_coding,1.01828029547461,7.48439102592224E-144
Neu-NRGN-II,ENSG00000134333,LDHA,protein_coding,1.22005485757711,1.46768200605233E-143
Neu-NRGN-II,ENSG00000127824,TUBA4A,protein_coding,1.23504450935152,1.67214201502116E-143
Neu-NRGN-II,ENSG00000171159,C9orf16,protein_coding,1.19373032267721,2.28204593407774E-143
Neu-NRGN-II,ENSG00000089737,DDX24,protein_coding,1.15657000010531,2.81685590083082E-143
Neu-NRGN-II,ENSG00000153130,SCOC,protein_coding,1.11850149938166,3.3290347800964E-143
Neu-NRGN-II,ENSG00000020129,NCDN,protein_coding,1.22980505768157,5.61122065720111E-143
Neu-NRGN-II,ENSG00000050165,DKK3,protein_coding,1.27955365977342,6.74277349971362E-143
Neu-NRGN-II,ENSG00000074590,NUAK1,protein_coding,1.28881927270416,7.001402943598E-143
Neu-NRGN-II,ENSG00000096092,TMEM14A,protein_coding,1.0331900529728,7.02990322390319E-143
Neu-NRGN-II,ENSG00000254999,BRK1,protein_coding,1.22393054152536,2.01536299858741E-142
Neu-NRGN-II,ENSG00000101460,MAP1LC3A,protein_coding,1.20203012824059,3.31685058707173E-142
Neu-NRGN-II,ENSG00000273079,GRIN2B,protein_coding,1.84807727916216,1.46082281044375E-141
Neu-NRGN-II,ENSG00000155980,KIF5A,protein_coding,1.06003787350968,1.78148703337609E-141
Neu-NRGN-II,ENSG00000074800,ENO1,protein_coding,1.15765602390825,1.84450201322851E-141
Neu-NRGN-II,ENSG00000101856,PGRMC1,protein_coding,1.20092314967942,2.05653755903271E-141
Neu-NRGN-II,ENSG00000172247,C1QTNF4,protein_coding,1.28204592647319,2.50511904191526E-141
Neu-NRGN-II,ENSG00000164742,ADCY1,protein_coding,1.12899960248341,9.42217635473129E-141
Neu-NRGN-II,ENSG00000156642,NPTN,protein_coding,1.26025459896871,9.53047032581604E-141
Neu-NRGN-II,ENSG00000063180,CA11,protein_coding,1.13741489205306,1.27517427179086E-140
Neu-NRGN-II,ENSG00000160932,LY6E,protein_coding,1.15425521649399,1.83612045902366E-140
Neu-NRGN-II,ENSG00000177511,ST8SIA3,protein_coding,1.02902803660199,2.43849236851026E-140
Neu-NRGN-II,ENSG00000189043,NDUFA4,protein_coding,1.31959669732969,2.90368379804115E-140
Neu-NRGN-II,ENSG00000006210,CX3CL1,protein_coding,1.1798836480259,3.51830031953288E-140
Neu-NRGN-II,ENSG00000149269,PAK1,protein_coding,1.10650792072942,3.55467702908505E-140
Neu-NRGN-II,ENSG00000198513,ATL1,protein_coding,1.15980904153517,3.56878520510121E-140
Neu-NRGN-II,ENSG00000184613,NELL2,protein_coding,1.63365204989875,4.8449924406541E-140
Neu-NRGN-II,ENSG00000173812,EIF1,protein_coding,1.14413415605781,9.59266399526275E-140
Neu-NRGN-II,ENSG00000105568,PPP2R1A,protein_coding,1.13842051221454,3.75538689484203E-139
Neu-NRGN-II,ENSG00000213585,VDAC1,protein_coding,1.18290007035327,4.1099057996121E-139
Neu-NRGN-II,ENSG00000109738,GLRB,protein_coding,1.00862206089537,4.4247517142953E-139
Neu-NRGN-II,ENSG00000232112,TMA7,protein_coding,1.01620701137092,1.12747347321467E-138
Neu-NRGN-II,ENSG00000078902,TOLLIP,protein_coding,1.16885007951563,3.80706015380249E-138
Neu-NRGN-II,ENSG00000130770,ATPIF1,protein_coding,1.15130489305304,4.43267141545477E-138
Neu-NRGN-II,ENSG00000240694,PNMA2,protein_coding,1.16150507346314,7.69093019756039E-138
Neu-NRGN-II,ENSG00000172270,BSG,protein_coding,1.36245250308813,1.37953505431915E-137
Neu-NRGN-II,ENSG00000143761,ARF1,protein_coding,1.09426428773587,1.61192678317598E-137
Neu-NRGN-II,ENSG00000165943,MOAP1,protein_coding,1.03559180106552,2.30947305054996E-137
Neu-NRGN-II,ENSG00000167468,GPX4,protein_coding,1.16546706416464,3.54179310912766E-137
Neu-NRGN-II,ENSG00000120885,CLU,protein_coding,1.86125506897351,1.63929879060289E-136
Neu-NRGN-II,ENSG00000172115,CYCS,protein_coding,1.05363319748776,2.52624109764318E-136
Neu-NRGN-II,ENSG00000108946,PRKAR1A,protein_coding,1.13335129411204,6.63943950133304E-136
Neu-NRGN-II,ENSG00000112290,WASF1,protein_coding,1.17221294003969,7.04887912812199E-135
Neu-NRGN-II,ENSG00000107742,SPOCK2,protein_coding,1.09822757560863,7.49878946136249E-135
Neu-NRGN-II,ENSG00000123091,RNF11,protein_coding,1.04654703951088,1.62904971206246E-134
Neu-NRGN-II,ENSG00000173726,TOMM20,protein_coding,1.09826992909851,1.62904971206246E-134
Neu-NRGN-II,ENSG00000112697,TMEM30A,protein_coding,1.054350334288,2.05363106341146E-134
Neu-NRGN-II,ENSG00000198689,SLC9A6,protein_coding,1.07803255337338,7.15980541876386E-134
Neu-NRGN-II,ENSG00000136238,RAC1,protein_coding,1.07367929238564,1.23310058991723E-133
Neu-NRGN-II,ENSG00000140319,SRP14,protein_coding,1.07742961019143,1.89322305062417E-133
Neu-NRGN-II,ENSG00000108309,RUNDC3A,protein_coding,1.04101480563125,6.86057584191319E-133
Neu-NRGN-II,ENSG00000157152,SYN2,protein_coding,1.64303383690119,7.00571863733669E-133
Neu-NRGN-II,ENSG00000120053,GOT1,protein_coding,1.03457351329451,1.74113525881136E-132
Neu-NRGN-II,ENSG00000105404,RABAC1,protein_coding,1.07005489960851,2.30522821538024E-132
Neu-NRGN-II,ENSG00000168280,KIF5C,protein_coding,1.16168889019522,2.55731458824811E-131
Neu-NRGN-II,ENSG00000176171,BNIP3,protein_coding,1.02148019284222,4.66943214915274E-131
Neu-NRGN-II,ENSG00000066248,NGEF,protein_coding,1.06482421060107,6.89386561804685E-131
Neu-NRGN-II,ENSG00000130748,TMEM160,protein_coding,1.12265858688275,2.02818335662168E-130
Neu-NRGN-II,ENSG00000131100,ATP6V1E1,protein_coding,1.0797245184447,2.27909227572991E-130
Neu-NRGN-II,ENSG00000111726,CMAS,protein_coding,1.00389460142785,8.23221366306145E-130
Neu-NRGN-II,ENSG00000184076,UQCR10,protein_coding,1.00982456196441,1.35144114710113E-129
Neu-NRGN-II,ENSG00000110076,NRXN2,protein_coding,1.12729379399308,2.88493325918111E-129
Neu-NRGN-II,ENSG00000213190,MLLT11,protein_coding,1.07015251464834,9.58296211034865E-129
Neu-NRGN-II,ENSG00000120694,HSPH1,protein_coding,1.24710185546163,1.18568370127956E-128
Neu-NRGN-II,ENSG00000103316,CRYM,protein_coding,1.06378602911122,2.24769713456132E-128
Neu-NRGN-II,ENSG00000128524,ATP6V1F,protein_coding,1.0623425136274,2.84044605684837E-128
Neu-NRGN-II,ENSG00000140264,SERF2,protein_coding,1.00565345695422,3.03946247945585E-128
Neu-NRGN-II,ENSG00000034713,GABARAPL2,protein_coding,1.01897866760663,5.0816634045583E-128
Neu-NRGN-II,ENSG00000164733,CTSB,protein_coding,1.1089777529319,1.77634755920306E-127
Neu-NRGN-II,ENSG00000109670,FBXW7,protein_coding,1.33020989844361,8.12188671962407E-127
Neu-NRGN-II,ENSG00000119125,GDA,protein_coding,1.0994155865178,6.99218694886414E-126
Neu-NRGN-II,ENSG00000007237,GAS7,protein_coding,1.06510500226341,2.27724980752705E-125
Neu-NRGN-II,ENSG00000221946,FXYD7,protein_coding,1.00970812357449,7.89625848249973E-124
Neu-NRGN-II,ENSG00000170315,UBB,protein_coding,1.08252608209044,1.05638833453212E-123
Neu-NRGN-II,ENSG00000138814,PPP3CA,protein_coding,1.31488720337258,1.68216005405333E-123
Neu-NRGN-II,ENSG00000104722,NEFM,protein_coding,1.29739040613283,2.4549963379857E-123
Neu-NRGN-II,ENSG00000042753,AP2S1,protein_coding,1.00281571574937,4.0171174208013E-123
Neu-NRGN-II,ENSG00000158560,DYNC1I1,protein_coding,1.20394412359441,1.74165881162105E-122
Neu-NRGN-II,ENSG00000135916,ITM2C,protein_coding,1.01541997500852,1.81125123119885E-122
Neu-NRGN-II,ENSG00000124785,NRN1,protein_coding,1.03286759404326,3.56389884685477E-120
Neu-NRGN-II,ENSG00000187122,SLIT1,protein_coding,1.07810192854142,1.81308893229193E-119
Neu-NRGN-II,ENSG00000104833,TUBB4A,protein_coding,1.02621416543256,1.02791887084685E-113
Neu-NRGN-II,ENSG00000123119,NECAB1,protein_coding,1.19137432404656,4.60901884971726E-109
Neu-NRGN-II,ENSG00000101489,CELF4,protein_coding,1.3813338433336,2.00435102813194E-108
Neu-NRGN-II,ENSG00000166206,GABRB3,protein_coding,1.19038379414088,1.2398888898955E-107
Neu-NRGN-II,ENSG00000077264,PAK3,protein_coding,1.27199747030212,9.39127090546052E-107
Neu-NRGN-II,ENSG00000134121,CHL1,protein_coding,1.19446446042036,1.44761729143666E-105
Neu-NRGN-II,ENSG00000171951,SCG2,protein_coding,1.12059133669609,8.15434394215523E-101
Neu-NRGN-II,ENSG00000183454,GRIN2A,protein_coding,1.50786376854046,1.59830701073569E-98
Neu-NRGN-II,ENSG00000133083,DCLK1,protein_coding,1.47586030382924,7.78151764206893E-97
Neu-NRGN-II,ENSG00000152932,RAB3C,protein_coding,1.13797426297583,2.78695948079934E-94
Neu-NRGN-II,ENSG00000018236,CNTN1,protein_coding,1.03935948351514,3.6938669466911E-81
Neu-NRGN-II,ENSG00000144290,SLC4A10,protein_coding,1.20312550675979,1.29293020908413E-76
Neu-NRGN-II,ENSG00000185274,WBSCR17,protein_coding,1.10010893247755,1.19769975041475E-70
Neu-NRGN-II,ENSG00000186472,PCLO,protein_coding,1.09024836459349,2.73831600440497E-55
Neu-mat,ENSG00000185774,KCNIP4,protein_coding,2.58848589136288,0
Neu-mat,ENSG00000214548,MEG3,lincRNA,2.01890122315018,0
Neu-mat,ENSG00000229618,AC011288.2,lincRNA,2.9307059967998,0
Neu-mat,ENSG00000250588,IQCJ-SCHIP1,protein_coding,2.78106862502786,0
Neu-mat,ENSG00000184672,RALYL,protein_coding,2.53555061132754,1.87745542159586E-290
Neu-mat,ENSG00000112137,PHACTR1,protein_coding,2.06882522602993,6.09773941493438E-270
Neu-mat,ENSG00000078328,RBFOX1,protein_coding,1.66303837280609,1.8640674786393E-265
Neu-mat,ENSG00000185760,KCNQ5,protein_coding,2.38540039201364,4.08177979280365E-265
Neu-mat,ENSG00000183117,CSMD1,protein_coding,1.64005333222959,3.738858667518E-255
Neu-mat,ENSG00000048740,CELF2,protein_coding,1.62856997180189,6.36495152553445E-226
Neu-mat,ENSG00000186094,AGBL4,protein_coding,2.03332376365629,5.4987451453409E-223
Neu-mat,ENSG00000184305,CCSER1,protein_coding,1.76003870297759,3.5970010392975E-210
Neu-mat,ENSG00000145087,STXBP5L,protein_coding,1.85535533325313,1.69300464750252E-209
Neu-mat,ENSG00000176204,LRRTM4,protein_coding,1.76635938985896,1.11720061583416E-207
Neu-mat,ENSG00000174482,LINGO2,protein_coding,2.12279598019674,3.46619128787284E-198
Neu-mat,ENSG00000169744,LDB2,protein_coding,2.02891982605896,1.82755703943438E-193
Neu-mat,ENSG00000048991,R3HDM1,protein_coding,1.7097998680515,3.76180575788779E-192
Neu-mat,ENSG00000185008,ROBO2,protein_coding,1.85631856981888,1.42773448686824E-187
Neu-mat,ENSG00000136267,DGKB,protein_coding,1.97698625399377,9.98300357774895E-186
Neu-mat,ENSG00000183662,FAM19A1,protein_coding,2.09602400724195,2.24145710738428E-185
Neu-mat,ENSG00000160145,KALRN,protein_coding,1.646226055818,1.19360535892681E-183
Neu-mat,ENSG00000170579,DLGAP1,protein_coding,1.23874378065812,8.5693977153998E-181
Neu-mat,ENSG00000185352,HS6ST3,protein_coding,2.02445303951653,5.7323819333057E-178
Neu-mat,ENSG00000108684,ASIC2,protein_coding,2.03698113995952,1.20929882575818E-175
Neu-mat,ENSG00000112232,KHDRBS2,protein_coding,1.91543606755845,4.35584268973335E-175
Neu-mat,ENSG00000153707,PTPRD,protein_coding,1.39871338848284,2.5984106569795E-173
Neu-mat,ENSG00000133019,CHRM3,protein_coding,1.91721019371765,1.76411653327218E-171
Neu-mat,ENSG00000237647,ERICH1-AS1,antisense,1.77093505721878,1.67544993809479E-169
Neu-mat,ENSG00000224078,SNHG14,processed_transcript,1.09851390454604,1.36499680887085E-166
Neu-mat,ENSG00000172995,ARPP21,protein_coding,1.78391824527093,1.79173688146608E-166
Neu-mat,ENSG00000117114,ADGRL2,protein_coding,1.91406794641349,1.52279462366894E-156
Neu-mat,ENSG00000185737,NRG3,protein_coding,1.0351306296007,7.14870380797111E-156
Neu-mat,ENSG00000145934,TENM2,protein_coding,1.68578827711773,2.82352892763867E-155
Neu-mat,ENSG00000182901,RGS7,protein_coding,1.45161104081632,4.04549558610627E-154
Neu-mat,ENSG00000067715,SYT1,protein_coding,1.23495035442324,7.79553264044095E-151
Neu-mat,ENSG00000141668,CBLN2,protein_coding,1.52543154828566,1.82031397971224E-148
Neu-mat,ENSG00000184347,SLIT3,protein_coding,1.50017605196645,6.81961750133678E-148
Neu-mat,ENSG00000174469,CNTNAP2,protein_coding,1.07127174608301,1.12218450530977E-144
Neu-mat,ENSG00000080224,EPHA6,protein_coding,1.88903679530834,9.53935879309668E-144
Neu-mat,ENSG00000187672,ERC2,protein_coding,1.61021660974944,2.52605226795658E-140
Neu-mat,ENSG00000148408,CACNA1B,protein_coding,1.68423836060923,7.26316542115106E-139
Neu-mat,ENSG00000152578,GRIA4,protein_coding,1.69258859308401,1.76413284244245E-138
