"IlmnID"	"CETS.seqnames"	"CETS.start"	"CETS.end"	"CETS.strand"	"neuron"	"glia"	"region_type"	"symbol"	"CpG_Gene_Region"	"Endothelial_Genes"	"GabaPV_Genes"	"GabaRelnCalb_Genes"	"GabaVIPReln_Genes"	"Microglia_Genes"	"Microglia_activation_Genes"	"Microglia_deactivation_Genes"	"Oligo_Genes"	"OligoPrecursors_Genes"	"Pyramidal_Genes"	"Astrocyte_Genes"
"cg24867247"	"chr13"	46964256	46964256	"-"	0.79806027443169	0.0994839756455938	"Up1to5Kb"	"RUBCNL"	"cg24867247_RUBCNL_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01276497"	"chr11"	33723723	33723723	"-"	0.870936292467081	0.283217750773416	"Up1to5Kb"	"C11orf91"	"cg01276497_C11orf91_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05265574"	"chr10"	11616142	11616142	"-"	0.385323972695986	0.877682808801445	"Up1to5Kb"	"USP6NL"	"cg05265574_USP6NL_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg26650480"	"chr20"	4796176	4796176	"-"	0.830711607371799	0.463580467147985	"Promoters"	"RASSF2"	"cg26650480_RASSF2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg10110857"	"chr1"	901755	901755	"+"	0.616550004867656	0.158373245174483	"Promoters"	"PLEKHN1"	"cg10110857_PLEKHN1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg13330050"	"chr5"	114632793	114632793	"-"	0.252462991409572	0.746581070092838	"Up1to5Kb"	"CCDC112"	"cg13330050_CCDC112_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg16704389"	"chr16"	57768292	57768292	"+"	0.593944280864957	0.909015436930411	"Up1to5Kb"	"KATNB1"	"cg16704389_KATNB1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg07791866"	"chr16"	56701994	56701994	"-"	0.576137430191899	0.111754123640744	"Promoters"	"MT1G"	"cg07791866_MT1G_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg07602841"	"chr16"	56702144	56702144	"-"	0.633005728544001	0.288962141009512	"Promoters"	"MT1G"	"cg07602841_MT1G_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02803037"	"chr16"	56702158	56702158	"-"	0.590882905108098	0.160131058863432	"Promoters"	"MT1G"	"cg02803037_MT1G_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06937939"	"chr10"	6128602	6128602	"+"	0.526092366188236	0.186763240023399	"Up1to5Kb"	"RBM17"	"cg06937939_RBM17_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01799588"	"chr11"	5706381	5706381	"-"	0.685666275610652	0.223227184014923	"Promoters"	"TRIM5"	"cg01799588_TRIM5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg12471950"	"chr11"	5706401	5706401	"-"	0.626191641897109	0.167914546998121	"Promoters"	"TRIM5"	"cg12471950_TRIM5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg00283876"	"chr16"	30906273	30906273	"-"	0.481350186779605	0.835731552197301	"Up1to5Kb"	"BCL7C"	"cg00283876_BCL7C_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03514843"	"chr2"	27301195	27301195	"+"	0.663269915927985	0.211783802639921	"Promoters"	"EMILIN1"	"cg03514843_EMILIN1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg26060255"	"chr20"	3025968	3025968	"+"	0.34625204725812	0.592269389158669	"Promoters"	"MRPS26"	"cg26060255_MRPS26_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg16326367"	"chr5"	77946110	77946110	"-"	0.355710341323344	0.856178101349211	"Up1to5Kb"	"LHFPL2"	"cg16326367_LHFPL2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11440375"	"chr6"	2988321	2988321	"+"	0.360919039559016	0.694531902111883	"Promoters"	"NQO2"	"cg11440375_NQO2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg10923408"	"chr13"	31506710	31506710	"+"	0.508793326360999	0.135613064069059	"Promoters"	"TEX26"	"cg10923408_TEX26_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg07766743"	"chr8"	27348001	27348001	"+"	0.389018333735975	0.850655582924673	"Promoters"	"EPHX2"	"cg07766743_EPHX2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg12102016"	"chr14"	89259748	89259748	"-"	0.23715673028352	0.656701397275456	"Up1to5Kb"	"EML5"	"cg12102016_EML5_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01633848"	"chr5"	68855560	68855560	"+"	0.288569759375514	0.660738781365981	"Promoters"	"GTF2H2C"	"cg01633848_GTF2H2C_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg09986894"	"chr2"	25478842	25478842	"-"	0.6060217337472	0.92231197828194	"Up1to5Kb"	"DNMT3A"	"cg09986894_DNMT3A_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04217218"	"chr9"	14693888	14693888	"-"	0.329589923911934	0.681341722884232	"Promoters"	"ZDHHC21"	"cg04217218_ZDHHC21_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg10956848"	"chr22"	48027641	48027641	"-"	0.287870786262785	0.931078849230925	"Promoters"	"LINC00898"	"cg10956848_LINC00898_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08040429"	"chr22"	48027764	48027764	"-"	0.383628762619959	0.955051634991998	"Promoters"	"LINC00898"	"cg08040429_LINC00898_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05354479"	"chr14"	71276874	71276874	"-"	0.15168034384159	0.415702683416644	"Up1to5Kb"	"MAP3K9"	"cg05354479_MAP3K9_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg15951661"	"chr14"	71277141	71277141	"-"	0.135733569838068	0.456586154132927	"Up1to5Kb"	"MAP3K9"	"cg15951661_MAP3K9_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05951521"	"chr16"	19421937	19421937	"+"	0.303744715436725	0.104386764675593	"Promoters"	"TMC5"	"cg05951521_TMC5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg09076788"	"chr16"	19124971	19124971	"+"	0.379299133430807	0.0555813295688861	"Promoters"	"ITPRIPL2"	"cg09076788_ITPRIPL2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06777352"	"chr16"	19124984	19124984	"+"	0.486244320241325	0.120809681826936	"Promoters"	"ITPRIPL2"	"cg06777352_ITPRIPL2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08936307"	"chr19"	6481945	6481945	"-"	0.798608724779031	0.577954369391137	"Up1to5Kb"	"DENND1C"	"cg08936307_DENND1C_Up1to5Kb"	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA	NA
"cg26597727"	"chr19"	6482062	6482062	"-"	0.777890381342685	0.099864391415504	"Up1to5Kb"	"DENND1C"	"cg26597727_DENND1C_Up1to5Kb"	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA	NA
"cg13379195"	"chr17"	3794211	3794211	"-"	0.342375814876527	0.669757344140836	"Up1to5Kb"	"CAMKK1"	"cg13379195_CAMKK1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01704534"	"chr4"	40518024	40518024	"-"	0.879095552738231	0.61736879610328	"Up1to5Kb"	"RBM47"	"cg01704534_RBM47_Up1to5Kb"	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA
"cg05283538"	"chr20"	1165228	1165228	"-"	0.370406222996379	0.570888121218323	"Promoters"	"TMEM74B"	"cg05283538_TMEM74B_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg10836809"	"chr9"	4300203	4300203	"-"	0.561178980554627	0.111319464319909	"Up1to5Kb"	"GLIS3"	"cg10836809_GLIS3_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg27340001"	"chr15"	43786010	43786010	"-"	0.235282769464194	0.625844988448962	"Up1to5Kb"	"TP53BP1"	"cg27340001_TP53BP1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11860005"	"chr22"	32149125	32149125	"+"	0.402115640575062	0.154573262271617	"Up1to5Kb"	"DEPDC5"	"cg11860005_DEPDC5_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02890863"	"chr16"	3081463	3081463	"+"	0.815703424374405	0.509806293539301	"Up1to5Kb"	"AC108134.1"	"cg02890863_AC108134.1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg07474477"	"chr16"	3027968	3027968	"-"	0.77808921897291	0.460121139049338	"Promoters"	"PKMYT1"	"cg07474477_PKMYT1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03534481"	"chr21"	34439545	34439545	"+"	0.819663287546993	0.378555592594829	"Up1to5Kb"	"OLIG1"	"cg03534481_OLIG1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg18334392"	"chr5"	9547825	9547825	"-"	0.877429881450918	0.181378250060109	"Up1to5Kb"	"SEMA5A"	"cg18334392_SEMA5A_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg15952963"	"chr13"	21635959	21635959	"-"	0.548375105950127	0.119074200864715	"Promoters"	"LATS2"	"cg15952963_LATS2_Promoters"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg18151858"	"chr13"	21635991	21635991	"-"	0.586939508272375	0.183587874638837	"Promoters"	"LATS2"	"cg18151858_LATS2_Promoters"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg12732548"	"chr15"	40631573	40631573	"-"	0.84852867360448	0.316770191285325	"Promoters"	"CCDC9B"	"cg12732548_CCDC9B_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05059480"	"chr15"	40633202	40633202	"-"	0.522891874545309	0.12829954978249	"Up1to5Kb"	"CCDC9B"	"cg05059480_CCDC9B_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg10805440"	"chr21"	31710627	31710627	"-"	0.873386365813406	0.40201911884014	"Up1to5Kb"	"KRTAP27-1"	"cg10805440_KRTAP27-1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01250842"	"chr4"	2417681	2417681	"+"	0.258998628229229	0.774610765113921	"Up1to5Kb"	"CFAP99"	"cg01250842_CFAP99_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg09286468"	"chr6"	31683051	31683051	"-"	0.828589122495338	0.465054507694287	"Up1to5Kb"	"LY6G6E"	"cg09286468_LY6G6E_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08342194"	"chr6"	31683075	31683075	"-"	0.845724203654073	0.505898241980757	"Up1to5Kb"	"LY6G6E"	"cg08342194_LY6G6E_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01690792"	"chr3"	87043178	87043178	"-"	0.886633428389136	0.645982611640667	"Up1to5Kb"	"VGLL3"	"cg01690792_VGLL3_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg21598117"	"chr3"	47952098	47952098	"-"	0.259741171922456	0.933405235536037	"Promoters"	"MAP4"	"cg21598117_MAP4_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg26140483"	"chr3"	47952611	47952611	"-"	0.54112238183534	0.904935381345782	"Promoters"	"MAP4"	"cg26140483_MAP4_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg23169269"	"chr15"	25307416	25307416	"+"	0.60686403674814	0.850773123665592	"Promoters"	"SNORD116-5"	"cg23169269_SNORD116-5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11684826"	"chr7"	6055582	6055582	"+"	0.766309270655355	0.309928148034679	"Promoters"	"SNORA42"	"cg11684826_SNORA42_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05585263"	"chr15"	25334879	25334879	"+"	0.437382988241881	0.771168486061156	"Up1to5Kb"	"SNORD116-24"	"cg05585263_SNORD116-24_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg17434643"	"chr20"	61805067	61805067	"+"	0.794342870791625	0.478592997294535	"Up1to5Kb"	"MIR124-3"	"cg17434643_MIR124-3_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11574092"	"chr2"	241394528	241394528	"+"	0.229833602670814	0.600799623298252	"Promoters"	"MIR149"	"cg11574092_MIR149_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04671367"	"chr2"	220159849	220159849	"-"	0.394100818948764	0.153679492190097	"Up1to5Kb"	"MIR153-1"	"cg04671367_MIR153-1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg18226382"	"chr19"	3964369	3964369	"-"	0.54839377433887	0.82892817595432	"Up1to5Kb"	"MIR637"	"cg18226382_MIR637_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04237666"	"chr4"	83674615	83674615	"-"	0.754996008605873	0.301550791986298	"Up1to5Kb"	"MIR575"	"cg04237666_MIR575_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg07792478"	"chr8"	65290484	65290484	"+"	0.159141352212945	0.698830281698165	"Up1to5Kb"	"MIR124-2"	"cg07792478_MIR124-2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg14590098"	"chr8"	65290848	65290848	"+"	0.19324514263348	0.744863750242258	"Promoters"	"MIR124-2"	"cg14590098_MIR124-2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02226645"	"chr8"	65291287	65291287	"+"	0.11432834132466	0.833898341823425	"Promoters"	"MIR124-2"	"cg02226645_MIR124-2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05474726"	"chr8"	65291523	65291523	"+"	0.163382977547001	0.837734193176177	"Promoters"	"MIR124-2"	"cg05474726_MIR124-2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg27313642"	"chr8"	65291542	65291542	"+"	0.145034432646931	0.755519453745575	"Promoters"	"MIR124-2"	"cg27313642_MIR124-2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg16189671"	"chr8"	65291562	65291562	"+"	0.152655625071538	0.695513724894013	"Promoters"	"MIR124-2"	"cg16189671_MIR124-2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg20653075"	"chr8"	65291682	65291682	"+"	0.176187575331161	0.710114217613644	"Promoters"	"MIR124-2"	"cg20653075_MIR124-2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05455720"	"chr8"	65291703	65291703	"+"	0.192697603101956	0.775973953975431	"Promoters"	"MIR124-2"	"cg05455720_MIR124-2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg24053070"	"chr21"	17962124	17962124	"+"	0.22711931220758	0.683881142149168	"Promoters"	"MIR125B2"	"cg24053070_MIR125B2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg21513316"	"chr14"	101532296	101532296	"+"	0.634497195108878	0.878033009869082	"Promoters"	"MIR656"	"cg21513316_MIR656_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05093113"	"chr20"	49200925	49200925	"+"	0.493041226286534	0.920879792440616	"Up1to5Kb"	"MIR645"	"cg05093113_MIR645_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg16290996"	"chr1"	173835989	173835989	"-"	0.161192805026972	0.527980491243221	"Up1to5Kb"	"SNORD78"	"cg16290996_SNORD78_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg26410550"	"chr15"	25229256	25229256	"+"	0.524278407619217	0.797573548602382	"Promoters"	"SNORD64"	"cg26410550_SNORD64_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg18560144"	"chr15"	25230200	25230200	"+"	0.55531630583577	0.894108001643322	"Promoters"	"SNORD64"	"cg18560144_SNORD64_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11166999"	"chr15"	25226929	25226929	"+"	0.619178190369653	0.933422554902218	"Up1to5Kb"	"SNORD64"	"cg11166999_SNORD64_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg22934878"	"chr15"	25227003	25227003	"+"	0.616409297927472	0.908393048458372	"Up1to5Kb"	"SNORD64"	"cg22934878_SNORD64_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08343644"	"chr16"	57662060	57662060	"+"	0.506311278370693	0.123873311368369	"Promoters"	"ADGRG1"	"cg08343644_ADGRG1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg16729850"	"chr12"	53339813	53339813	"+"	0.862862748982168	0.474139146155775	"Up1to5Kb"	"KRT18"	"cg16729850_KRT18_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg13531748"	"chr8"	23261967	23261967	"-"	0.513026205871588	0.173724675729518	"Up1to5Kb"	"LOXL2"	"cg13531748_LOXL2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05365729"	"chr8"	23262073	23262073	"-"	0.602713470205837	0.331822569588884	"Up1to5Kb"	"LOXL2"	"cg05365729_LOXL2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg26656947"	"chr16"	18941487	18941487	"-"	0.76626381775324	0.439184603307088	"Up1to5Kb"	"SMG1"	"cg26656947_SMG1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg14053030"	"chr18"	43405493	43405493	"+"	0.81780312128141	0.41730905169016	"Promoters"	"SIGLEC15"	"cg14053030_SIGLEC15_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02279883"	"chr17"	61086111	61086111	"+"	0.570661315361046	0.883582359758137	"Promoters"	"TANC2"	"cg02279883_TANC2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06747888"	"chr2"	162271859	162271859	"+"	0.318443483522258	0.694010047778346	"Promoters"	"TBR1"	"cg06747888_TBR1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA
"cg05187965"	"chr10"	45406764	45406764	"+"	0.77781016264774	0.498118205147193	"Promoters"	"TMEM72"	"cg05187965_TMEM72_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg13593287"	"chr14"	65289994	65289994	"-"	0.678359938772532	0.253740884150822	"Promoters"	"SPTB"	"cg13593287_SPTB_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg10937593"	"chr14"	65290063	65290063	"-"	0.466588377213671	0.176152923426227	"Promoters"	"SPTB"	"cg10937593_SPTB_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg25313930"	"chr2"	225266783	225266783	"-"	0.811247414292945	0.226855873712409	"Promoters"	"FAM124B"	"cg25313930_FAM124B_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg24516901"	"chr2"	225266801	225266801	"-"	0.796765752118678	0.251712132636506	"Promoters"	"FAM124B"	"cg24516901_FAM124B_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg19509303"	"chr14"	101318703	101318703	"+"	0.532191840776863	0.823798508857698	"Promoters"	"MIR770"	"cg19509303_MIR770_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04565201"	"chr13"	53382856	53382856	"+"	0.805423208663251	0.256115045624601	"Up1to5Kb"	"MIR759"	"cg04565201_MIR759_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08554936"	"chr19"	46519866	46519866	"+"	0.436202792430398	0.108896497715349	"Up1to5Kb"	"MIR769"	"cg08554936_MIR769_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg13378656"	"chr7"	142494492	142494492	"+"	0.510038416762576	0.19896010780248	"Promoters"	"TRBJ2-3"	"cg13378656_TRBJ2-3_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg13292202"	"chr5"	112771367	112771367	"-"	0.45914049831184	0.830654457298657	"Up1to5Kb"	"TSSK1B"	"cg13292202_TSSK1B_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg13139843"	"chr21"	31852793	31852793	"-"	0.888582400324738	0.456737031344084	"Up1to5Kb"	"KRTAP19-1"	"cg13139843_KRTAP19-1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03033106"	"chr11"	71789887	71789887	"-"	0.467595249599225	0.863545120568106	"Promoters"	"AP002490.1"	"cg03033106_AP002490.1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06893362"	"chr20"	47897124	47897124	"+"	0.380860688481627	0.835548911926683	"Promoters"	"SNORD12"	"cg06893362_SNORD12_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02722625"	"chr3"	52726624	52726624	"+"	0.43987990012277	0.929365490441373	"Promoters"	"SNORD69"	"cg02722625_SNORD69_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg18595196"	"chr3"	52726726	52726726	"+"	0.41800808510556	0.901763058880583	"Promoters"	"SNORD69"	"cg18595196_SNORD69_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06388099"	"chr19"	50400885	50400885	"-"	0.792823154731441	0.511299770976311	"Up1to5Kb"	"IL4I1"	"cg06388099_IL4I1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg22148138"	"chr19"	50175651	50175651	"+"	0.380096237769493	0.108454006886325	"Up1to5Kb"	"PRMT1"	"cg22148138_PRMT1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06064269"	"chr2"	230136510	230136510	"-"	0.425207000893055	0.866240405405308	"Up1to5Kb"	"PID1"	"cg06064269_PID1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg15383087"	"chr19"	36910144	36910144	"-"	0.27837946104804	0.690083117930597	"Promoters"	"ZFP82"	"cg15383087_ZFP82_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg26157149"	"chr19"	36001618	36001618	"-"	0.436904271290512	0.160550141577066	"Promoters"	"DMKN"	"cg26157149_DMKN_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg07083818"	"chr19"	18385672	18385672	"-"	0.84786994081067	0.542935221709691	"Promoters"	"IQCN"	"cg07083818_IQCN_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg22313519"	"chr19"	18385724	18385724	"-"	0.562208893763645	0.0738592533593954	"Promoters"	"IQCN"	"cg22313519_IQCN_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg24790419"	"chr19"	18385930	18385930	"-"	0.5988626522298	0.198869904337028	"Promoters"	"IQCN"	"cg24790419_IQCN_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05098118"	"chr10"	134900906	134900906	"+"	0.347307471217988	0.699143404247386	"Promoters"	"ADGRA1"	"cg05098118_ADGRA1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg12781794"	"chr11"	118505740	118505740	"+"	0.609706422581885	0.254820056168998	"Up1to5Kb"	"PHLDB1"	"cg12781794_PHLDB1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"cg17339905"	"chr2"	135808617	135808617	"-"	0.512611579560871	0.929618948238861	"Up1to5Kb"	"MAP3K19"	"cg17339905_MAP3K19_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg23190719"	"chr7"	134575456	134575456	"+"	0.695645072163194	0.28497488992563	"Promoters"	"CALD1"	"cg23190719_CALD1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05881697"	"chr4"	170679725	170679725	"-"	0.452644282585768	0.813298229037829	"Up1to5Kb"	"HPF1"	"cg05881697_HPF1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03280299"	"chr7"	116659609	116659609	"+"	0.369807192286363	0.895054722408186	"Promoters"	"ST7"	"cg03280299_ST7_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg22897659"	"chr7"	116659986	116659986	"+"	0.164977641437623	0.715833492469792	"Promoters"	"ST7"	"cg22897659_ST7_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04663487"	"chr7"	115670804	115670804	"-"	0.848326259108242	0.539497300113211	"Up1to5Kb"	"TFEC"	"cg04663487_TFEC_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02726018"	"chr3"	122712717	122712717	"-"	0.245294372941718	0.561625113497384	"Promoters"	"SEMA5B"	"cg02726018_SEMA5B_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg12081372"	"chr4"	170926055	170926055	"-"	0.8928379266764	0.486840699933411	"Up1to5Kb"	"MFAP3L"	"cg12081372_MFAP3L_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg19051042"	"chr17"	39680319	39680319	"-"	0.733315449399943	0.475127122647936	"Up1to5Kb"	"KRT15"	"cg19051042_KRT15_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02713138"	"chr3"	101546589	101546589	"+"	0.660297006908071	0.136737778191162	"Promoters"	"NFKBIZ"	"cg02713138_NFKBIZ_Promoters"	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA
